-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     255.000us         0.00%     255.000us      12.750us           0 b           0 b           0 b           0 b            20  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     236.000us         0.00%     236.000us       5.900us           0 b           0 b           0 b           0 b            40  
                                         aten::_s_where         0.01%       2.245ms         0.02%       4.281ms      71.350us     220.000us         0.00%     220.000us       3.667us           0 b           0 b       2.21 Mb           0 b            60  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     220.000us         0.00%     220.000us       3.667us           0 b           0 b           0 b           0 b            60  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     220.000us         0.00%     220.000us      18.333us           0 b           0 b           0 b           0 b            12  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     205.000us         0.00%     205.000us       5.125us           0 b           0 b           0 b           0 b            40  
                                           aten::arange         0.04%      10.406ms         0.12%      33.181ms     118.504us     201.000us         0.00%     402.000us       1.436us     140.28 Kb           0 b     556.00 Kb           0 b           280  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     201.000us         0.00%     201.000us       1.675us           0 b           0 b           0 b           0 b           120  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     193.000us         0.00%     193.000us       4.825us           0 b           0 b           0 b           0 b            40  
void at::native::reduce_kernel<256, 2, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     190.000us         0.00%     190.000us       9.500us           0 b           0 b           0 b           0 b            20  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     186.000us         0.00%     186.000us       3.100us           0 b           0 b           0 b           0 b            60  
                                               aten::ge         0.01%       1.658ms         0.01%       2.484ms      62.100us     147.000us         0.00%     147.000us       3.675us           0 b           0 b     156.00 Kb     156.00 Kb            40  
void at::native::reduce_kernel<256, 2, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     145.000us         0.00%     145.000us      24.167us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.000us         0.00%     133.000us       2.217us           0 b           0 b           0 b           0 b            60  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     128.000us         0.00%     128.000us       1.600us           0 b           0 b           0 b           0 b            80  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     110.000us         0.00%     110.000us       5.500us           0 b           0 b           0 b           0 b            20  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     107.000us         0.00%     107.000us       5.350us           0 b           0 b           0 b           0 b            20  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     107.000us         0.00%     107.000us       5.350us           0 b           0 b           0 b           0 b            20  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     104.000us         0.00%     104.000us       2.600us           0 b           0 b           0 b           0 b            40  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     104.000us         0.00%     104.000us       2.600us           0 b           0 b           0 b           0 b            40  
                                       aten::__rshift__         0.01%       3.205ms         0.02%       4.563ms     114.075us     101.000us         0.00%     101.000us       2.525us           0 b           0 b      20.00 Kb           0 b            40  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     101.000us         0.00%     101.000us       2.525us           0 b           0 b           0 b           0 b            40  
                                          aten::random_         0.00%     429.000us         0.00%     843.000us      42.150us      99.000us         0.00%      99.000us       4.950us           0 b           0 b           0 b           0 b            20  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      99.000us         0.00%      99.000us       4.950us           0 b           0 b           0 b           0 b            20  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      94.000us         0.00%      94.000us       2.350us           0 b           0 b           0 b           0 b            40  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         0.00%      72.000us       1.800us           0 b           0 b           0 b           0 b            40  
                                             aten::log_         0.00%     249.000us         0.00%     522.000us      26.100us      66.000us         0.00%      66.000us       3.300us           0 b           0 b           0 b           0 b            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      58.000us         0.00%      58.000us       1.450us           0 b           0 b           0 b           0 b            40  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      45.000us         0.00%      45.000us      22.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.000us         0.00%      40.000us       2.000us           0 b           0 b           0 b           0 b            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      33.000us         0.00%      33.000us       1.650us           0 b           0 b           0 b           0 b            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.000us         0.00%      26.000us       1.300us           0 b           0 b           0 b           0 b            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.000us         0.00%      25.000us       1.250us           0 b           0 b           0 b           0 b            20  
                                               aten::eq         0.00%     999.000us         0.00%       1.343ms      67.150us      25.000us         0.00%      25.000us       1.250us           0 b           0 b     706.00 Kb     706.00 Kb            20  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.000us         0.00%      25.000us       1.250us           0 b           0 b           0 b           0 b            20  
                                            aten::zeros         0.34%      94.733ms         0.63%     177.161ms      70.864us       0.000us         0.00%     216.502ms      86.601us       5.16 Kb           0 b     114.06 Gb           0 b          2500  
                                            aten::empty         0.94%     263.836ms         0.94%     263.836ms      13.023us       0.000us         0.00%       0.000us       0.000us       1.13 Mb       1.13 Mb     335.51 Gb     335.51 Gb         20260  
                                            aten::zero_         0.78%     219.111ms         3.73%        1.053s      76.958us       0.000us         0.00%     234.328ms      17.129us           0 b           0 b           0 b           0 b         13680  
                                          ProfilerStep*        28.94%        8.163s        74.29%       20.956s        1.048s       0.000us         0.00%        4.529s     226.464ms         -80 b      -6.06 Kb    -140.50 Kb    -223.75 Gb            20  
                                               aten::to         0.35%      97.902ms         7.17%        2.022s     293.019us       0.000us         0.00%     266.191ms      38.578us      20.16 Kb           0 b      87.50 Gb           0 b          6900  
                                         aten::_to_copy         0.78%     219.796ms         6.82%        1.924s     357.608us       0.000us         0.00%     266.191ms      49.478us      20.16 Kb           0 b      87.50 Gb           0 b          5380  
                                    aten::empty_strided         0.70%     197.213ms         0.70%     197.213ms      22.564us       0.000us         0.00%       0.000us       0.000us      20.16 Kb      20.16 Kb     160.80 Gb     160.80 Gb          8740  
                                        cudaMemcpyAsync         0.94%     265.155ms         0.94%     265.155ms     133.917us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1980  
                                  cudaStreamSynchronize         4.80%        1.355s         4.80%        1.355s       1.783ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           760  
                                          aten::detach_         0.00%     624.000us         0.00%     705.000us      17.625us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                                detach_         0.00%      81.000us         0.00%      81.000us       2.025us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                          aten::resize_         0.38%     108.474ms         0.38%     108.474ms      11.206us       0.000us         0.00%       0.000us       0.000us      70.14 Kb      70.14 Kb     111.27 Gb     111.27 Gb          9680  
                                       aten::as_strided         0.25%      69.109ms         0.25%      69.109ms       1.903us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         36320  
                                       cudaLaunchKernel        10.65%        3.003s        10.65%        3.003s      22.095us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        135934  
                                     aten::resolve_conj         0.00%      70.000us         0.00%      70.000us       1.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                      aten::resolve_neg         0.00%      38.000us         0.00%      38.000us       0.633us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60  
                                             aten::rand         0.07%      20.167ms         0.09%      25.328ms      97.415us       0.000us         0.00%     278.000us       1.069us         960 b           0 b     175.80 Mb           0 b           260  
                                            aten::slice         0.25%      69.830ms         0.26%      74.156ms      26.675us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2780  
                                           aten::select         0.05%      14.084ms         0.05%      15.001ms      20.835us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           720  
                                       aten::contiguous         0.22%      62.114ms         1.42%     400.499ms     192.548us       0.000us         0.00%     105.538ms      50.739us       1.10 Mb           0 b      27.87 Gb           0 b          2080  
                                            aten::clone         0.67%     188.917ms         1.74%     489.520ms     143.976us       0.000us         0.00%     309.068ms      90.902us       1.10 Mb           0 b      87.47 Gb           0 b          3400  
                                       aten::empty_like         0.78%     221.340ms         1.34%     378.224ms      49.377us       0.000us         0.00%       0.000us       0.000us       1.10 Mb           0 b     154.00 Gb           0 b          7660  
                                          aten::randint         0.00%     721.000us         0.01%       1.959ms      97.950us       0.000us         0.00%      99.000us       4.950us           0 b           0 b     140.00 Kb           0 b            20  
                                           rnnt_encoder         0.14%      39.330ms        34.37%        9.696s     484.802ms       0.000us         0.00%        4.369s     218.452ms       2.00 Kb     -70.53 Kb     217.45 Gb    -562.27 Mb            20  
                                     rnnt_encoder_embed         0.15%      41.731ms         1.94%     546.194ms      27.310ms       0.000us         0.00%     167.920ms       8.396ms         -80 b        -400 b      11.06 Gb      -4.29 Gb            20  
                                        aten::unsqueeze         0.33%      92.627ms         0.35%      98.498ms      32.189us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3060  
                                           aten::conv2d         0.01%       2.562ms         0.12%      34.847ms     580.783us       0.000us         0.00%      42.618ms     710.300us           0 b           0 b       4.01 Gb           0 b            60  
                                      aten::convolution         0.12%      33.120ms         2.03%     571.886ms     714.857us       0.000us         0.00%     425.194ms     531.492us           0 b           0 b      20.52 Gb           0 b           800  
                                     aten::_convolution         0.61%     171.697ms         1.91%     538.766ms     673.457us       0.000us         0.00%     425.194ms     531.492us           0 b           0 b      20.52 Gb           0 b           800  
                                        cudaEventRecord         0.04%      10.388ms         0.04%      10.388ms       2.103us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4940  
                                          aten::reshape         0.45%     127.007ms         0.93%     263.603ms      28.043us       0.000us         0.00%      60.386ms       6.424us           0 b           0 b      13.15 Gb           0 b          9400  
                                   aten::_reshape_alias         0.13%      37.616ms         0.13%      37.616ms       4.334us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          8680  
                             ActivationBalancerFunction         3.85%        1.087s        10.74%        3.029s       2.367ms       0.000us         0.00%     553.043ms     432.065us           0 b           0 b      11.02 Gb     -87.53 Gb          1280  
                                        cudaMemsetAsync         0.51%     143.253ms         0.51%     143.253ms      13.489us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10620  
                                             aten::rsub         0.41%     114.504ms         0.79%     224.099ms     108.786us       0.000us         0.00%     115.527ms      56.081us           0 b           0 b      33.61 Gb           0 b          2060  
                                             aten::relu         0.31%      88.182ms         1.54%     433.161ms     206.267us       0.000us         0.00%       3.230ms       1.538us           0 b           0 b      77.92 Mb           0 b          2100  
                                          aten::view_as         0.94%     264.408ms         0.97%     272.389ms     212.804us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1280  
                                             aten::view         0.20%      57.243ms         0.20%      57.243ms       5.380us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10640  
                                    DoubleSwishFunction         0.66%     186.217ms         1.14%     321.678ms     412.408us       0.000us         0.00%     364.905ms     467.827us           0 b           0 b      67.21 Gb     -33.60 Gb           780  
                                           aten::detach         0.10%      28.217ms         0.11%      31.364ms      40.210us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           780  
                                                 detach         0.01%       3.147ms         0.01%       3.147ms       4.035us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           780  
                                        aten::transpose         0.76%     215.709ms         0.86%     241.903ms      17.555us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         13780  
                                           aten::linear         1.84%     517.984ms         4.88%        1.377s     764.727us       0.000us         0.00%        1.817s       1.010ms           0 b           0 b      58.84 Gb           0 b          1800  
                                                aten::t         0.45%     125.917ms         0.92%     258.402ms      29.431us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          8780  
                                           aten::matmul         1.27%     356.905ms         3.41%     961.528ms     418.056us       0.000us         0.00%        1.933s     840.408us           0 b           0 b     134.63 Gb           0 b          2300  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.05%      14.582ms         0.05%      14.582ms       2.054us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7100  
                                         cudaEventQuery         0.04%      10.760ms         0.04%      10.760ms       3.241us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3320  
                                     aten::_unsafe_view         0.39%     110.205ms         0.42%     118.747ms      39.320us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3020  
                                      aten::result_type         0.00%       1.153ms         0.00%       1.153ms       1.109us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1040  
                                          aten::dropout         0.20%      56.223ms         1.45%     408.676ms     237.602us       0.000us         0.00%     160.717ms      93.440us           0 b           0 b      49.74 Gb      -8.76 Mb          1720  
                                          aten::permute         0.14%      40.151ms         0.15%      43.709ms      26.017us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1680  
                                             aten::item         0.09%      24.409ms         0.84%     237.456ms     296.820us       0.000us         0.00%     871.000us       1.089us           0 b           0 b           0 b           0 b           800  
                                           aten::expand         0.30%      84.509ms         0.32%      89.671ms      30.091us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2980  
                                        aten::expand_as         0.01%       2.079ms         0.02%       4.395ms      43.950us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           100  
                                     rnnt_encoder_layer         1.18%     333.477ms        32.04%        9.038s      37.659ms       0.000us         0.00%        4.199s      17.497ms       1.14 Kb      -5.42 Kb     206.54 Gb     -43.05 Gb           240  
                rnnt_encoder_layer_feed_forward_macaron         0.71%     201.251ms         5.95%        1.677s       6.988ms       0.000us         0.00%        1.059s       4.413ms        -960 b      -4.69 Kb      54.52 Gb     -13.15 Gb           240  
                           rnnt_encoder_layer_self_attn         2.40%     676.390ms         8.88%        2.505s      10.438ms       0.000us         0.00%        1.314s       5.474ms         960 b      -2.81 Kb      76.69 Gb    -115.34 Gb           240  
                                            aten::chunk         0.03%       8.315ms         0.31%      88.140ms     367.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           240  
                                            aten::split         0.09%      25.735ms         0.28%      79.825ms     332.604us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           240  
                                           aten::narrow         0.16%      45.533ms         0.33%      92.288ms      64.992us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1420  
                                      aten::masked_fill         0.12%      33.983ms         0.44%     123.354ms     513.975us       0.000us         0.00%     126.640ms     527.667us           0 b           0 b      23.07 Gb           0 b           240  
                                          aten::softmax         0.03%       9.085ms         0.08%      21.790ms      90.792us       0.000us         0.00%     130.369ms     543.204us           0 b           0 b      23.06 Gb           0 b           240  
                                rnnt_encoder_layer_conv         1.05%     295.586ms         7.36%        2.076s       8.649ms       0.000us         0.00%     575.679ms       2.399ms        -960 b      -4.69 Kb      26.32 Gb      -3.29 Gb           240  
                                           aten::conv1d         0.11%      29.812ms         2.02%     569.413ms     769.477us       0.000us         0.00%     382.576ms     516.995us           0 b           0 b      16.51 Gb           0 b           740  
                                          aten::squeeze         0.18%      51.811ms         0.20%      55.926ms      23.302us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2400  
                        rnnt_encoder_layer_feed_forward         0.71%     201.388ms         4.79%        1.352s       5.631ms       0.000us         0.00%        1.035s       4.311ms        -960 b      -4.69 Kb      54.49 Gb     -13.15 Gb           240  
                                      aten::as_strided_         0.00%       1.100ms         0.00%       1.100ms       2.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           500  
                                       aten::is_nonzero         0.00%     278.000us         0.02%       5.497ms     274.850us       0.000us         0.00%      43.000us       2.150us           0 b           0 b           0 b           0 b            20  
                                  aten::constant_pad_nd         0.01%       3.765ms         0.04%      10.868ms     181.133us       0.000us         0.00%     954.000us      15.900us           0 b           0 b     136.71 Mb           0 b            60  
                                           rnnt_decoder         0.04%      10.113ms         0.14%      39.257ms       1.963ms       0.000us         0.00%       1.663ms      83.150us         -80 b        -400 b     136.57 Mb    -155.34 Mb            20  
                                        aten::embedding         0.01%       1.851ms         0.02%       4.944ms     247.200us       0.000us         0.00%     255.000us      12.750us           0 b           0 b      67.91 Mb           0 b            20  
                                       aten::zeros_like         0.00%       1.045ms         0.02%       5.211ms      86.850us       0.000us         0.00%     248.000us       4.133us           0 b           0 b     120.35 Mb           0 b            60  
                                            aten::stack         0.00%       1.371ms         0.02%       4.798ms     239.900us       0.000us         0.00%      54.000us       2.700us           0 b           0 b      10.00 Kb           0 b            20  
                                              aten::cat         0.02%       6.960ms         0.14%      40.795ms      97.131us       0.000us         0.00%      50.086ms     119.252us           0 b           0 b      10.32 Gb           0 b           420  
                                       rnnt_loss_simple         0.26%      73.394ms         0.87%     245.872ms      12.294ms       0.000us         0.00%      38.942ms       1.947ms         880 b      -9.45 Kb     982.80 Mb      -1.42 Gb            20  
                                               aten::mv         0.01%       1.541ms         0.01%       3.869ms      96.725us       0.000us         0.00%       1.502ms      37.550us           0 b           0 b     606.00 Kb           0 b            40  
                                             aten::full         0.01%       3.373ms         0.03%       7.188ms      89.850us       0.000us         0.00%     298.000us       3.725us           0 b           0 b     114.68 Mb           0 b            80  
                                             aten::ones         0.01%       1.911ms         0.01%       3.702ms      92.550us       0.000us         0.00%      63.000us       1.575us           0 b           0 b      20.00 Kb           0 b            40  
                                            aten::where         0.02%       6.124ms         0.09%      25.862ms     258.620us       0.000us         0.00%     421.000us       4.210us           0 b           0 b       3.32 Mb     -20.00 Kb           100  
                                    aten::scalar_tensor         0.01%       1.642ms         0.01%       3.410ms      85.250us       0.000us         0.00%      71.000us       1.775us           0 b           0 b      20.00 Kb           0 b            40  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2560  
                                 cudaDeviceGetAttribute         0.00%      62.000us         0.00%      62.000us       0.097us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           640  
                               cudaPointerGetAttributes         0.00%     145.000us         0.00%     145.000us       3.625us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                        aten::logsumexp         0.02%       6.105ms         0.06%      17.829ms     891.450us       0.000us         0.00%      17.058ms     852.900us           0 b           0 b       2.74 Mb      -1.34 Gb            20  
                                           aten::repeat         0.04%      12.595ms         0.10%      26.821ms     335.262us       0.000us         0.00%     631.000us       7.888us           0 b           0 b     259.04 Mb           0 b            80  
                                            aten::alias         0.00%     129.000us         0.00%     129.000us       1.613us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80  
                                           aten::unfold         0.02%       4.243ms         0.02%       4.535ms      22.675us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                                        aten::ones_like         0.01%       1.704ms         0.01%       3.310ms     165.500us       0.000us         0.00%      35.000us       1.750us           0 b           0 b      10.00 Kb           0 b            20  
      autograd::engine::evaluate_function: AddBackward0         0.35%      97.419ms         1.50%     422.761ms      96.675us       0.000us         0.00%     191.219ms      43.727us           0 b           0 b      -3.41 Gb      -6.95 Gb          4373  
                                           AddBackward0         0.01%       4.183ms         0.01%       4.183ms       0.957us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4373  
      autograd::engine::evaluate_function: MulBackward0         0.82%     230.128ms         4.70%        1.325s     217.066us       0.000us         0.00%     160.464ms      26.280us      -3.17 Kb      -3.17 Kb     257.55 Mb     -22.75 Gb          6106  
                                           MulBackward0         0.32%      89.892ms         2.25%     634.514ms     103.916us       0.000us         0.00%     109.691ms      17.964us           0 b           0 b      22.99 Gb           0 b          6106  
      autograd::engine::evaluate_function: NegBackward0         0.00%     585.000us         0.01%       2.552ms      63.800us       0.000us         0.00%      58.000us       1.450us           0 b           0 b      10.00 Kb     -10.00 Kb            40  
                                           NegBackward0         0.00%     271.000us         0.01%       1.967ms      49.175us       0.000us         0.00%      58.000us       1.450us           0 b           0 b      20.00 Kb           0 b            40  
      autograd::engine::evaluate_function: SumBackward0         0.00%     377.000us         0.00%       1.272ms      31.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                           SumBackward0         0.00%     341.000us         0.00%     895.000us      22.375us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
autograd::engine::evaluate_function: MutualInformati...         0.00%     934.000us         0.05%      14.081ms     352.025us       0.000us         0.00%       1.309ms      32.725us           0 b           0 b     -20.00 Kb     -20.00 Kb            40  
             MutualInformationRecursionFunctionBackward         0.02%       4.536ms         0.05%      13.147ms     328.675us       0.000us         0.00%       1.309ms      32.725us           0 b           0 b           0 b    -242.49 Mb            40  
autograd::engine::evaluate_function: ScatterBackward...         0.00%       1.247ms         0.02%       6.205ms     155.125us       0.000us         0.00%     942.000us      23.550us           0 b           0 b     740.00 Kb    -119.44 Mb            40  
                                       ScatterBackward1         0.00%     385.000us         0.02%       4.958ms     123.950us       0.000us         0.00%     942.000us      23.550us           0 b           0 b     120.16 Mb           0 b            40  
    autograd::engine::evaluate_function: CloneBackward0         0.14%      39.604ms         0.29%      83.087ms      36.764us       0.000us         0.00%      55.029ms      24.349us           0 b           0 b      -9.93 Gb     -19.87 Gb          2260  
                                         CloneBackward0         0.01%       1.676ms         0.01%       1.676ms       0.742us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2260  
autograd::engine::evaluate_function: PermuteBackward...         0.05%      14.352ms         0.15%      41.983ms      49.980us       0.000us         0.00%      27.894ms      33.207us           0 b           0 b      -3.29 Gb      -6.58 Gb           840  
                                       PermuteBackward0         0.02%       5.393ms         0.06%      15.516ms      18.471us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           840  
autograd::engine::evaluate_function: GatherBackward0...         0.02%       5.433ms         0.09%      25.847ms     184.621us       0.000us         0.00%     138.007ms     985.764us           0 b           0 b      57.81 Gb      -3.68 Gb           140  
                                        GatherBackward0         0.00%       1.185ms         0.07%      19.614ms     140.100us       0.000us         0.00%     132.753ms     948.236us           0 b           0 b      60.16 Gb           0 b           140  
                                  aten::gather_backward         0.01%       1.947ms         0.07%      18.429ms     131.636us       0.000us         0.00%     132.753ms     948.236us           0 b           0 b      60.16 Gb           0 b           140  
      autograd::engine::evaluate_function: CatBackward0         0.00%     872.000us         0.02%       4.276ms      53.450us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80  
                                           CatBackward0         0.00%     814.000us         0.01%       3.404ms      42.550us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80  
      autograd::engine::evaluate_function: SubBackward0         0.02%       5.323ms         0.11%      31.325ms     195.781us       0.000us         0.00%       4.503ms      28.144us           0 b           0 b    -278.15 Mb      -1.02 Gb           160  
                                           SubBackward0         0.01%       4.122ms         0.09%      25.632ms     128.160us       0.000us         0.00%       2.918ms      14.590us           0 b           0 b     543.01 Mb    -533.17 Mb           200  
autograd::engine::evaluate_function: SelectBackward0...         0.01%       2.567ms         0.06%      18.143ms     151.192us       0.000us         0.00%       3.738ms      31.150us           0 b           0 b       1.62 Gb     -60.78 Mb           120  
                                        SelectBackward0         0.00%     855.000us         0.06%      15.576ms     129.800us       0.000us         0.00%       3.738ms      31.150us           0 b           0 b       1.68 Gb           0 b           120  
                                  aten::select_backward         0.01%       2.235ms         0.05%      14.721ms     122.675us       0.000us         0.00%       3.738ms      31.150us           0 b           0 b       1.68 Gb           0 b           120  
    autograd::engine::evaluate_function: SliceBackward0         0.03%       8.997ms         0.21%      58.442ms     162.339us       0.000us         0.00%      24.202ms      67.228us           0 b           0 b    -128.31 Mb      -5.43 Gb           360  
                                         SliceBackward0         0.01%       2.569ms         0.17%      47.106ms     130.850us       0.000us         0.00%      23.758ms      65.994us           0 b           0 b       5.18 Gb           0 b           360  
                                   aten::slice_backward         0.02%       6.597ms         0.16%      44.537ms     123.714us       0.000us         0.00%      23.758ms      65.994us           0 b           0 b       5.18 Gb           0 b           360  
autograd::engine::evaluate_function: SqueezeBackward...         0.03%       7.570ms         0.08%      21.492ms      27.554us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           780  
                                       SqueezeBackward1         0.01%       4.175ms         0.05%      13.922ms      17.849us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           780  
autograd::engine::evaluate_function: LogsumexpBackwa...         0.00%       1.310ms         0.02%       6.009ms     300.450us       0.000us         0.00%      18.895ms     944.750us           0 b           0 b      -1.34 Gb      -4.02 Gb            20  
                                     LogsumexpBackward0         0.00%       1.010ms         0.01%       3.953ms     197.650us       0.000us         0.00%      13.673ms     683.650us           0 b           0 b       1.34 Gb      -2.68 Gb            20  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.09%      24.243ms         0.23%      65.082ms      25.623us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2540  
                                    UnsafeViewBackward0         0.05%      14.311ms         0.14%      40.839ms      16.078us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2540  
       autograd::engine::evaluate_function: MmBackward0         0.26%      74.033ms         1.68%     474.201ms     263.445us       0.000us         0.00%        3.617s       2.009ms           0 b           0 b     -46.99 Gb     -94.95 Gb          1800  
                                            MmBackward0         0.32%      88.890ms         1.42%     400.168ms     222.316us       0.000us         0.00%        3.617s       2.009ms           0 b           0 b      47.96 Gb           0 b          1800  
     autograd::engine::evaluate_function: ViewBackward0         0.14%      38.848ms         0.51%     144.288ms      41.225us       0.000us         0.00%      26.077ms       7.451us           0 b           0 b    -275.16 Mb      -7.12 Gb          3500  
                                          ViewBackward0         0.07%      20.223ms         0.37%     104.577ms      29.879us       0.000us         0.00%      24.961ms       7.132us           0 b           0 b       6.58 Gb           0 b          3500  
        autograd::engine::evaluate_function: TBackward0         0.06%      17.186ms         0.19%      54.016ms      30.009us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1800  
                                             TBackward0         0.03%       8.455ms         0.13%      36.830ms      20.461us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1800  
